description,location,latitude,longitude,reference_code,violation_type,recording_date,source,keywords,youtube_id,landmarks,weather_in_media,languages,clothes_and_uniforms,sex,weapons_used,edited,file_size,device_used_to_record,media_content_type,chain_of_custody_notes,finding_aids,international_instrument,urls_and_news,related_incidents,page_title,video_url
Attacks targeting Al Jinah mosque in Aleppo. The civil defense team is looking for casualties in the impact site, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_c2ce1,"
            Specifically protected persons and objects"," March 17, 2017, 8:59 p.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=h_kIvIT1_Xw, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c2ce141d16126b4f5f8589aebfbbd5d3b055a2cd36ab449da6e245a7,https://media.syrianarchive.org/files/spoon2/sV_20170317_h_kIvIT1_Xw.mp4
35 reported casualties as a result of attacks against Al Jinah mosque in Aleppo, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_97ea3,"
            Specifically protected persons and objects"," March 17, 2017, 8:29 a.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=TBwagt3lXXU, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",97ea3b1879e32a7ebe88f2ebbb403b8b8d72fd64f1c38b23f94ab35c,https://media.syrianarchive.org/files/spoon2/sV_20170317_TBwagt3lXXU.mp4
Casualties as a result of attacks that targeted a mosque in Aleppo, ALEPPO : Al-Jinah, 36.107721, 36.787080, MO_8eefe,"
            Specifically protected persons and objects"," March 17, 2017, 8:01 a.m.", الدرر الشامية, ,https://www.youtube.com/watch?v=Yefz2AOth_g, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",8eefe67166a6ef265d8fdac98278f8b622064913166f7dddd2815d92,https://media.syrianarchive.org/files/spoon2/sV_20170317_Yefz2AOth_g.mp4
Chlorine rocket attack by Syrian government that targeted Housh Nasry, DAMASCUS : Housh Al Dawahrah, 33.550873, 36.4651251, CW_53db8,"
            Use of illegal weapons"," Feb. 22, 2017, 3:40 p.m.", Orient News, ,https://www.youtube.com/watch?v=s18RkNCBXqc, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",53db8d3941b6235b298795331a93db2002651cc41405b089df0e10b8,https://media.syrianarchive.org/files/spoon2/sV_20170222_s18RkNCBXqc.mp4
One of the doctors talking about the injuries as a result of the chlorine gas attack , DAMASCUS : Irbin nahiyah, 33.549101, 36.360075, CW_14ee7,"
            Use of illegal weapons"," Feb. 9, 2017, 11:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=OWvGdN6ywLs, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",14ee7bc4631ead9064131068512030733ddb68df777b97299764b69d,https://media.syrianarchive.org/files/spoon2/sV_20170209_OWvGdN6ywLs.mp4
Rocket's [107mm Rocket] remnants which contained poisoned gas. , DAMASCUS : Medaany,  33.547547°,  36.444569°, CW_6d0f3,"
            Use of illegal weapons"," Jan. 30, 2017, 8:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=99-I75jlkZQ, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , https://www.facebook.com/Medical.Office.alghota/posts/1026007784209219:0,"
                ", https://www.facebook.com/Medical.Office.alghota/posts/1026007784209219:0,"
                ",6d0f3b182452447ddd0a42e22fa115dcce65177fc38838f2bb31703a,https://media.syrianarchive.org/files/spoon2/sV_20170201_99-I75jlkZQ.mp4
Cluster bombs attack in Damascus countryside, DAMASCUS : Marj al sultan, , , CL_c60aa,"
            Use of illegal weapons"," Jan. 11, 2017, 8:41 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=AbYMdZchCWg, , , None, , None,"
         
              Cluster Munition", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c60aab29db951313e3163e4eb31dfc86df5d73e889f1111fd1ec6c21,https://media.syrianarchive.org/files/spoon2/sV_20170111_AbYMdZchCWg.mp4
Cluster bombs attack that targeted Damascus countryside, DAMASCUS : Marj al sultan, , , CL_b23b7,"
            Use of illegal weapons"," Jan. 10, 2017, 4:32 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=HkCwcMGcWUE, , , None, , None,"
         
              Cluster Munition", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",b23b78fcf5c575533f600641ec468e3e0016e8f6ae82a8b820e72f6a,https://media.syrianarchive.org/files/spoon2/sV_20170110_HkCwcMGcWUE.mp4
Interview with a civilian who was evacuated from Aleppo about his suffering under siege and bombing, ALEPPO, , , AL_1bca7,"
            Sieges and economic, social and cultural rights"," Dec. 30, 2016, 1:09 p.m.", baladi- news, ,https://www.youtube.com/watch?v=79j6tUUNXXs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1bca74481a3cc257d2b5d68e490f555672c2e3bac71d23e393313e17,https://media.syrianarchive.org/files/spoon2/sV_20161230_79j6tUUNXXs.mp4
Casualties and destruction in Azaz town because of a car bomb, ALEPPO : Azaz, , , AL_1227,"
            Unlawful attacks"," Dec. 30, 2016, 12:27 p.m.", baladi- news, ,https://www.youtube.com/watch?v=Aep1sEogOYQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",12279c7be3a4534cfc246b11b0a71840f11144cbdd6c67a3c49d25dd,https://media.syrianarchive.org/files/spoon2/sV_20161230_Aep1sEogOYQ.mp4
The destruction in Aleppo countryside after being targeted by alleged Russian airstrikes - Aleppo, ALEPPO : Binan Al hes, , , RU_1b732,"
            Alleged civilian casualties from Russian attacks"," Dec. 30, 2016, 8:39 a.m.", Step News Agency, ,https://www.youtube.com/watch?v=DPCgOGiveCo, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1b7321a5e55513661032e5b650562d5125e4da7c51cc6f39d4fe5e00,https://media.syrianarchive.org/files/spoon2/sV_20161230_DPCgOGiveCo.mp4
Interview with the civilians who were evacuated from Aleppo about their suffering under siege and bombing, ALEPPO, , , AL_3c46f,"
            Sieges and economic, social and cultural rights"," Dec. 28, 2016, 8:42 p.m.", baladi- news, ,https://www.youtube.com/watch?v=uLCuEeV06Qs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",3c46f08c59047892a22767c9096519237845a98cdf589f078b7fd7d0,https://media.syrianarchive.org/files/spoon2/sV_20161228_uLCuEeV06Qs.mp4
Destruction in schools as a result of bombing in Aleppo countryside, ALEPPO, , , AL_92549,"
            Specifically protected persons and objects"," Dec. 28, 2016, 5:24 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=g3_060ZMG3k, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",92549a9c3a072661df58462db68cb405cbfd9e6d9355af173ddfde4a,https://media.syrianarchive.org/files/spoon2/sV_20161228_g3_060ZMG3k.mp4
The destruction in Aleppo countryside after being targeting it with alleged Russian airstrikes , ALEPPO : Al-Jinah, , , RU_3b7a9,"
            Unlawful attacks"," Dec. 28, 2016, 4:13 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=ttouayITprY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",3b7a9199782a92fcf5c11b4f0ca5fdd254bb86e105768167da44a4f8,https://media.syrianarchive.org/files/spoon2/sV_20161228_ttouayITprY.mp4
Interview with a woman who was evacuated from Aleppo about her suffering during the siege, ALEPPO, , , AL_57467,"
             Arbitrary and forcible displacement"," Dec. 28, 2016, 2:50 p.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=6TGpLz1LzOQ, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",574679c2bcd0f85f66ef0dfe58ce18392936e5d42ef6b32459c58a6b,https://media.syrianarchive.org/files/spoon2/sV_20161228_6TGpLz1LzOQ.mp4
The destruction in sief Al-Dawleh and Al-Zabadieh neighborhoods in Aleppo city, ALEPPO : Seif al-Dawleh, , , AL_9d4dc,"
            Unlawful attacks"," Dec. 27, 2016, 7:54 p.m.", Kareem Tebi, ,https://www.youtube.com/watch?v=mAVYsNM4vew, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",9d4dce3ea699203130d2ec56ac67b7ad7cd847a358c7ce3d6e5f96b9,https://media.syrianarchive.org/files/spoon2/sV_20161227_mAVYsNM4vew.mp4
The airstrikes target a mosque and civilian homes in Al-Jineh town - Aleppo, ALEPPO : Al-Jinah, , , AL_53a67,"
            Unlawful attacks"," Dec. 27, 2016, 4:44 p.m.", الدفاع المدني السوري - حلب, ,https://www.youtube.com/watch?v=fRzbBXey8is, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",53a676b387f807e4f886f6f9c9730ad6a7925ca51674a85c750bb4cf,https://media.syrianarchive.org/files/spoon2/sV_20161227_fRzbBXey8is.mp4
The destruction in al-Atarib town after targeting it with alleged Russian airstrikes - Aleppo, ALEPPO : Al atarib, , , RU_0ef84,"
            Alleged civilian casualties from Russian attacks"," Dec. 24, 2016, 3:50 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=ruBeZxBH6WY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0ef8452017684d62f8ffafd89c926b1b286a48b07e7b17240d237d31,https://media.syrianarchive.org/files/spoon/sV_20161224_ruBeZxBH6WY.mp4
The destruction in al-Atarib town after targeting it with rockets - Aleppo, ALEPPO : Al atarib, , , AL_283a6,"
            Unlawful attacks"," Dec. 24, 2016, 2:26 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=vP6SKUgxuUk, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",283a60c6cf9d914d7b92d04e6300b0218a5c458f5909e42d80ea68a4,https://media.syrianarchive.org/files/spoon/sV_20161224_vP6SKUgxuUk.mp4
6 civilians killed and many wounded after targeting Al-Atarib town with alleged Russian airstrikes - Aleppo, ALEPPO : Al atarib, , , RU_3481e,"
            Alleged civilian casualties from Russian attacks"," Dec. 24, 2016, 2 p.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=Fh0kjOv0Ixs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",3481e11f0670d0099283e2de858a03b7efd8cfa62ba1ae921f5e53a4,https://media.syrianarchive.org/files/spoon/sV_20161224_Fh0kjOv0Ixs.mp4
The destruction in al-Atarib town after targeting it with alleged Russian airstrikes - Aleppo, ALEPPO : Al atarib, , , RU_c85a3,"
            Alleged civilian casualties from Russian attacks"," Dec. 24, 2016, 1:07 p.m.", baladi- news, ,https://www.youtube.com/watch?v=C6v5fUT5aDE, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c85a3ffb99efc80cca5bbd8c2ea23209b0afd806a25b59ab1445479b,https://media.syrianarchive.org/files/spoon/sV_20161224_C6v5fUT5aDE.mp4
6 civilians casualties and many wounded after targeting Al-Atarib town with airstrikes - Aleppo, ALEPPO : Al atarib, , , AL_ceeec,"
            Unlawful attacks"," Dec. 24, 2016, 12:12 p.m.", الدفاع المدني السوري - حلب, ,https://www.youtube.com/watch?v=vayoebmUHek, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",ceeec879ae1c2610d46f20c493e04b7be539eb94d2bc585a2b2853b7,https://media.syrianarchive.org/files/spoon/sV_20161224_vayoebmUHek.mp4
targeting Khan Al-Asl with cluster munition - Aleppo, ALEPPO : Khan al-Asl, , , CL_0ee5b,"
            Use of illegal weapons"," Dec. 23, 2016, 7:37 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=pJtwRJE3VZ4, , , None, , None,"
         
              Cluster Munition", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0ee5bc20e5a98480e832385896665db39e1962d792ba54cd5761f8c1,https://media.syrianarchive.org/files/spoon/sV_20161223_pJtwRJE3VZ4.mp4
One causality in Al-Quds hospital during his waiting to be transported out of eastern Aleppo, ALEPPO, , , AL_2bbc1,"
            Sieges and economic, social and cultural rights"," Dec. 20, 2016, 8:18 a.m.", ANA PRESS العربي, ,https://www.youtube.com/watch?v=BXIfds1KgzI, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",2bbc15b15ba0bfbb1a521c1492ec26aa4419e70a1afe7a083b14e6b8,https://media.syrianarchive.org/files/spoon/sV_20161220_BXIfds1KgzI.mp4
Interview with the civilians who were evacuated from Aleppo , ALEPPO, , , AL_1ca12,"
             Arbitrary and forcible displacement"," Dec. 20, 2016, 8:14 a.m.", هادي العبدالله Hadi Alabdallah , ,https://www.youtube.com/watch?v=BW1o2AsJHDY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",1ca12ffa044a747fd097816ac3808fafcd1e629e557f865a2d764a0f,https://media.syrianarchive.org/files/spoon/sV_20161220_BW1o2AsJHDY.mp4
"This woman was among those people who were displaced from the Eastern neighborhoods of Aleppo, she lost her 3 sons", ALEPPO, , , AL_f61f5,"
             Arbitrary and forcible displacement"," Dec. 20, 2016, 7:52 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=E0j18dmafJ4, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",f61f5e5524fbe49369587c31b1e0e0bf9871bcc5226509173da34a25,https://media.syrianarchive.org/files/spoon/sV_20161219_E0j18dmafJ4.mp4
interview with an woman who was evacuated from Aleppo about their suffering under siege and bombing, ALEPPO, , , AL_d3a24,"
             Arbitrary and forcible displacement"," Dec. 19, 2016, 7:26 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=IJz88LoOHSA, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",d3a24418f7f7297d38225ee061038e76c090acfe065275c6627d7bc4,https://media.syrianarchive.org/files/spoon/sV_20161219_IJz88LoOHSA.mp4
interview with the civilians who were evacuated from Aleppo about their suffering under siege and bombing, ALEPPO, , , AL_e9d22,"
             Arbitrary and forcible displacement"," Dec. 19, 2016, 6:01 p.m.", عين على الوطن, ,https://www.youtube.com/watch?v=549P23TTDO4, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",e9d22abdd108f1635fa2315444ef23776373c09fee4689806ed88d93,https://media.syrianarchive.org/files/spoon/sV_20161219_549P23TTDO4.mp4
Iranian militias breache the truce by targeting the evacuation convoys from Aleppo, ALEPPO, , , AL_c517c,"
            Unlawful attacks"," Dec. 17, 2016, 4:27 p.m.", Halab Today TV | قناة حلب اليوم, ,https://www.youtube.com/watch?v=ygou9wmiIqg, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c517c9f86f45178f5cd836625d19515d2af9d2f727b012b58a35c806,https://media.syrianarchive.org/files/spoon/sV_20161217_ygou9wmiIqg.mp4
Interview with a survivor from an evacuation convoy after trapping it by Syrian regime forces and Iranian militias, ALEPPO, , , AL_d1ab4,"
             Arbitrary and forcible displacement"," Dec. 17, 2016, 3:06 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=nQpcN723bKs, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",d1ab4a22aced069312d79663617daf01f774525a843a3a4a4481e6fb,https://media.syrianarchive.org/files/spoon/sV_20161217_nQpcN723bKs.mp4
Targeting Anadan town by phosphorus bombs - Aleppo, ALEPPO : Anadan, , , CL_c5951,"
            Use of illegal weapons"," Dec. 17, 2016, 12:43 p.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=FDjxeiv9pfo, , , None, , None,"
         
              Incendiary Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c59518e21b494ec43187b1b9aeda01054bf207bb77918d5c35ca5be7,https://media.syrianarchive.org/files/spoon/sV_20161217_FDjxeiv9pfo.mp4
Targeting Anadan town by napalm from alleged Russian warplanes - Aleppo, ALEPPO : Anadan, , , RU_63c35,"
            Use of illegal weapons"," Dec. 17, 2016, 10:25 a.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=Sfn5wIweT-g, , , None, , None,"
         
              Incendiary Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",63c35abfe9d0bf8d5966c8efafc88406b0326ba31e3f846a1ad6de78,https://media.syrianarchive.org/files/spoon/sV_20161217_Sfn5wIweT-g.mp4
targeting an evacuation convoy from Syrian regime forces - Aleppo, ALEPPO, , , AL_d8b1e,"
             Arbitrary and forcible displacement"," Dec. 17, 2016, 10:19 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=1h-pfdt7_5A, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",d8b1ec3e20d5caf9514652495a4ac436b0af1802ca0503856492725e,https://media.syrianarchive.org/files/spoon/sV_20161217_1h-pfdt7_5A.mp4
"The situation in Al-Quds hospital, the wounded are waiting to be transferred ", ALEPPO, , , HO_82a9f,"
            Specifically protected persons and objects"," Dec. 17, 2016, 9:14 a.m.", Abd Alfattah Sheikhomar, ,https://www.youtube.com/watch?v=HpFyBmo3-RA, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",82a9fd5ec787667e3013896e8fd4c4ba1b50061d518341aa45fcfb36,https://media.syrianarchive.org/files/spoon/sV_20161217_HpFyBmo3-RA.mp4
Targeting Anadan town by napalm from alleged Russian warplanes - Aleppo, ALEPPO : Anadan, , , RU_e14da,"
            Use of illegal weapons"," Dec. 16, 2016, 11:53 p.m.", الإعلامي سامي الرج, ,https://www.youtube.com/watch?v=ND6oPSdJOzQ, , , None, , None,"
         
              Incendiary Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",e14dab72f1d96750c8808cfeb1daa66762e7a4b3b3f498ce526d2d0d,https://media.syrianarchive.org/files/spoon/sV_20161216_ND6oPSdJOzQ.mp4
interview with the civilians who were evacuated  from Aleppo, ALEPPO, , , AL_d1d0b,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 7:32 p.m.", قناة الجسر الفضائية, ,https://www.youtube.com/watch?v=WPHJEsIEA-s, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",d1d0b1cb655c620b4bf39e5d9f9d14eb8fa4200c37ea1d30b74177af,https://media.syrianarchive.org/files/spoon/sV_20161216_WPHJEsIEA-s.mp4
Interview with survivors from an evacuation convoy after trapping it by the Syrian regime forces and Iranian militias. Reported casualties. Devices such as mobile phone being seized. , ALEPPO, , , AL_f1b23,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 7:24 p.m.", مركز حلب الإعلامي AMC, ,https://www.youtube.com/watch?v=mLN0vOwS4Og, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",f1b23ab91ffc7a3a53342c9207e5e6c695fd30c8703a2a39bf307e16,https://media.syrianarchive.org/files/spoon/sV_20161216_mLN0vOwS4Og.mp4
Injured civilian testifies about the suffering under the siege in Aleppo eastern neighborhoods, ALEPPO, , , AL_38a3b,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 6:38 p.m.", Step News Agency, None,https://www.youtube.com/watch?v=1oKuqiwzDXY, None, None, None, , None,"
         ", None, ,"
                ","
                
        ", None, ,"
                ", None,"
                ",38a3bb25f678efcdbf9ee6de36af2e2182ba62a7d4384e7eb33eefac,https://media.syrianarchive.org/files/spoon/sV_20161216_1oKuqiwzDXY.mp4
Interview with the civilians who were evacuated from Aleppo, ALEPPO, , , AL_fcfc3,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 6:14 p.m.", Step News Agency, ,https://www.youtube.com/watch?v=KAW3sgsKzCw, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",fcfc34884fb1cb9c3d2193d03b4097228d1ffc7ee70273345539f762,https://media.syrianarchive.org/files/spoon/sV_20161216_KAW3sgsKzCw.mp4
Interview with a survivor from an evacuation convoy after trapping it by Syrian regime forces and Iranian militias, ALEPPO, , , AL_52a4b,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 5:32 p.m.", قناة الجسر الفضائية  , ,https://www.youtube.com/watch?v=_VYA2J5eqME, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",52a4ba2a977e6334b6fbe277a34d874a8c4c3fdec3e0030b205392e5,https://media.syrianarchive.org/files/spoon/sV_20161216__VYA2J5eqME.mp4
Interview with a survivor from an evacuation convoy , ALEPPO, , , AL_8c4bc,"
             Arbitrary and forcible displacement"," Dec. 16, 2016, 3:28 p.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=QuUYt2HamTU, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",8c4bcff6a6a1016dc10655b0148f8d2e727cd5f2995b5343209622b2,https://media.syrianarchive.org/files/spoon/sV_20161216_QuUYt2HamTU.mp4
Targeting an evacuation convoy from Syrian regime forces - Aleppo, ALEPPO : Ramousah, , , AL_a6db0,"
            Unlawful attacks"," Dec. 16, 2016, 9:11 a.m.", Seif AL Abdullah, ,https://www.youtube.com/watch?v=Jn5W4Or0WdA, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",a6db001b5cf9e868d0bb80737636ee08ce5036a38952d11878f10289,https://media.syrianarchive.org/files/spoon/sV_20161217_Jn5W4Or0WdA.mp4
interview with the civilians who were evacuated  from Aleppo, ALEPPO, , , AL_bbbc1,"
             Arbitrary and forcible displacement"," Dec. 15, 2016, 5:40 p.m.", هادي العبدالله Hadi Alabdallah, ,https://www.youtube.com/watch?v=ZI7N-uVhNic, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",bbbc135216eb925debfbb6d80d840e61481fc9d3061d5e3c2e170360,https://media.syrianarchive.org/files/spoon/sV_20161215_ZI7N-uVhNic.mp4
Heavy shelling from Syrian regime warplanes before the arriving of evacuation convoy in Aleppo , ALEPPO, , , AL_a2b3e,"
            Unlawful attacks"," Dec. 15, 2016, 2:54 p.m.", Ahmad Primo, ,https://www.youtube.com/watch?v=uWGyUOAO8Ew, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",a2b3ebd1d39b6593e1288780189e99398dbf30a2ed82125b5b1b26db,https://media.syrianarchive.org/files/spoon/sV_20161215_uWGyUOAO8Ew.mp4
targeting an evacuation convoy by alleged Iranian militias - Aleppo, ALEPPO, , , AL_7985b,"
            Unlawful attacks"," Dec. 15, 2016, 10:14 a.m.", baladi- news, ,https://www.youtube.com/watch?v=gz6iNmYcBes, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",7985b09426b082d33d52c102c016871836bc9f345d6012709769f191,https://media.syrianarchive.org/files/spoon/sV_20161215_gz6iNmYcBes.mp4
a civil defence member testifies about shooting the vehicles which transport the injured from Syrian regime forces - Aleppo, ALEPPO, , , AL_766d7,"
            Unlawful attacks"," Dec. 15, 2016, 10:06 a.m.", Halab Today TV | قناة حلب اليوم, ,https://www.youtube.com/watch?v=9IN5bvkCThc, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",766d72e901369cbda12ab38d114b2f547f5b453ea1decb0d60c83069,https://media.syrianarchive.org/files/spoon/sV_20161215_9IN5bvkCThc.mp4
Syrian regime's warplanes breaches the truce by heavy shelling on Aleppo neighborhoods, ALEPPO, , , AL_bd073,"
            Unlawful attacks"," Dec. 14, 2016, 7:21 p.m.", سانا حلب الثورة Sana Aleppo Revolution, ,https://www.youtube.com/watch?v=FjZnLaHh8QY, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",bd073f509c0e5430fc5bb9bbc1e09bb097d9c6cc30d095f89ecf6f9d,https://media.syrianarchive.org/files/spoon/sV_20161214_FjZnLaHh8QY.mp4
The destruction in a mall after targeting it from alleged Russian airstrikes - Aleppo, ALEPPO : Karfur Mall, 36.257754, 37.095861, RU_c5627,"
            Alleged civilian casualties from Russian attacks"," Dec. 12, 2016, 4:09 p.m.", Qasioun News Agency, ,https://www.youtube.com/watch?v=EhbKepUw_94, , , None, , None,"
         ", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",c56273d1f07a1dccccb51126895b2689523f70b933d0b17087aef8f5,https://media.syrianarchive.org/files/spoon/sV_20161212_EhbKepUw_94.mp4
Incendiary bombs attack that targeted Aleppo city, ALEPPO : Ansari, , , CL_0a4ab,"
            Use of illegal weapons"," Dec. 11, 2016, 11:39 a.m.", وكالة ثقة, ,https://www.youtube.com/watch?v=jxXvMWghoWY, , , None, , None,"
         
              Incendiary Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",0a4ab14b65e73d72dcc638d58d23f467ae9a017bd6c5caa4fd33d64c,https://media.syrianarchive.org/files/spoon/sV_20161211_jxXvMWghoWY.mp4
Casualties as a result of airstrikes with rockets and chlorine cylinder , ALEPPO : Bustan al-Qasr, , , CW_50ed5,"
            Use of illegal weapons"," Dec. 10, 2016, 4:22 p.m.", SMART News Agency - وكالة سمارت للأنباء, ,https://www.youtube.com/watch?v=d9O-9eKSfPQ, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",50ed5985c1c151268ae2d738809d3589ff12f74e4a152d6cd398607c,https://media.syrianarchive.org/files/spoon/sV_20161210_d9O-9eKSfPQ.mp4
Civilians injured and being treated in a hospital as a result of a chlorine attack, ALEPPO : Kalaseh, , , CW_hgs81,"
            Use of illegal weapons"," Dec. 9, 2016, 10:16 a.m.", ‎Bustan Alqasr Medical Center-مركز بستان القصر الطبي‎, ,NA, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/,"
                ",,https://media.syrianarchive.org/files/videoapiresults/bustan_medical_center/Facebook%20video%20%231019913058118475-1019913058118475.mp4
Civilians injured and being treated in a hospital as a result of a chlorine attack, ALEPPO : Kalaseh, , , CW_jhwl5,"
            Use of illegal weapons"," Dec. 9, 2016, 10:16 a.m.", ‎Bustan Alqasr Medical Center-مركز بستان القصر الطبي‎, ,NA, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",,https://media.syrianarchive.org/files/videoapiresults/bustan_medical_center/Facebook%20video%20%231019912288118552-1019912288118552.mp4
Civilians injured and being treated in a hospital as a result of a chlorine attack, ALEPPO : Kalaseh, , , CW_tre98,"
            Use of illegal weapons"," Dec. 9, 2016, 10:16 a.m.", ‎Bustan Alqasr Medical Center-مركز بستان القصر الطبي‎, ,NA, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",,https://media.syrianarchive.org/files/videoapiresults/bustan_medical_center/Facebook%20video%20%231019916004784847-1019916004784847.mp4
Civilians injured and being treated in a hospital as a result of a chlorine attack, ALEPPO : Kalaseh, , , CW_yte91,"
            Use of illegal weapons"," Dec. 9, 2016, 10:16 a.m.", ‎Bustan Alqasr Medical Center-مركز بستان القصر الطبي‎, ,NA, , , None, , None,"
         
              Chemical Weapons", None, ,"
                ","
                
        ", , ,"
                ", ,"
                ",,https://media.syrianarchive.org/files/videoapiresults/bustan_medical_center/Facebook%20video%20%231019915424784905-1019915424784905.mp4
